Comparison	p53Target	Ensg	GeneID	p53	TargetRegion	InteractionBait	InteractionOtherEnd	InteractionDynamism	EnrichedInGeneSet	p53EnsgGenomicDistance	H3K27acLog2FCp53	H3K27acLog2FCensg	H3K27acLog2FCenhancer	ExprLog2FCensg
Nut1h.vs.Nut0h	promoter	ENSG00000006744	ELAC2	17:12921603-12921825	17:12921304-12922504					0	0.451196	0.5354878		-0.617870702953421
Nut1h.vs.Nut0h	promoter	ENSG00000237765	FAM200B	4:15682946-15683168	4:15682285-15683485				CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	0	0.820441167295628	0.820441167295628		0.787351411220167
Nut1h.vs.Nut0h	promoter	ENSG00000118564	FBXL5	4:15682946-15683168	4:15683102-15684302					0	0.820441167295628	0.820441167295628		0.482503098616967
Nut1h.vs.Nut0h	promoter	ENSG00000167196	FBXO22	15:76196305-76196527	15:76195200-76196400				FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,MACAEVA_PBMC_RESPONSE_TO_IR,WARTERS_RESPONSE_TO_IR_SKIN	0	0.6620841	0.618571466666667		0.572692951552818
Nut1h.vs.Nut0h	promoter	ENSG00000087338	GMCL1	2:70055807-70056029	2:70055774-70056974				MILI_PSEUDOPODIA_CHEMOTAXIS_DN	0	0.955192734410021	0.826770544279516		0.669165441429163
Nut1h.vs.Nut0h	promoter	ENSG00000127955	GNAI1	7:79762785-79763007	7:79762271-79763471				FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN,LEE_RECENT_THYMIC_EMIGRANT	0	1.35182424290187	1.14187282266169		0.435586164876552
Nut1h.vs.Nut0h	promoter	ENSG00000196787	HIST1H2AG	6:27099671-27099893	6:27099832-27101032					0	0.692790075928858	0.692790075928858		0.978761860588395
Nut1h.vs.Nut0h	promoter	ENSG00000105323	HNRNPUL1	19:41768026-41768248	19:41767401-41768601				GSE17721_CTRL_VS_LPS_6H_BMDC_UP	0	0.3554474	0.5397895		-0.367156350910516
Nut1h.vs.Nut0h	promoter	ENSG00000078399	HOXA9	7:27210865-27211087	7:27209917-27211117				GFI1_01	0	0.617808232672234	0.617808232672234		-0.768768122093442
Nut1h.vs.Nut0h	promoter	ENSG00000196196	HRCT1	9:35906009-35906231	9:35905189-35906389				CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	0	0.67174805	0.543370254		-1.24941853332307
Nut1h.vs.Nut0h	promoter	ENSG00000105371	ICAM4	19:10396735-10396957	19:10396643-10397843				GFI1_01,GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP,GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_DN,GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_DN	0	0.5741151	0.7758181		
Nut1h.vs.Nut0h	promoter	ENSG00000137331	IER3	6:30712418-30712640	6:30712131-30713331				HALLMARK_P53_PATHWAY,FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,SMIRNOV_RESPONSE_TO_IR_6HR_UP,KERLEY_RESPONSE_TO_CISPLATIN_UP,INGA_TP53_TARGETS,SMIRNOV_RESPONSE_TO_IR_2HR_UP,MARTORIATI_MDM4_TARGETS_FETAL_LIVER_UP,DORN_ADENOVIRUS_INFECTION_32HR_DN,DORN_ADENOVIRUS_INFECTION_48HR_DN,CROONQUIST_STROMAL_STIMULATION_UP,TONG_INTERACT_WITH_PTTG1,GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP,GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_DN,GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_DN,FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_UP,FAN_OVARY_CL14_MATURE_SMOOTH_MUSCLE_CELL	0	0.406300677156907	0.406300677156907		-0.480503960625616
Nut1h.vs.Nut0h	promoter	ENSG00000113302	IL12B	5:158758327-158758549	5:158757695-158758895				GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP,GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_DN,GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_DN,FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_UP,GSE6674_UNSTIM_VS_CPG_STIM_BCELL_UP	0	1.19544557667782	1.19544557667782		
Nut1h.vs.Nut0h	promoter	ENSG00000214960	ISPD	7:16461472-16461694	7:16460747-16461947					0	0.317019142744252	0.290494040721101		0.969686772802191
Nut1h.vs.Nut0h	promoter	ENSG00000105655	ISYNA1	19:18549554-18549776	19:18548911-18550111				FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,KERLEY_RESPONSE_TO_CISPLATIN_UP,GAUTAM_EYE_CORNEA_MELANOCYTES,FAN_OVARY_CL14_MATURE_SMOOTH_MUSCLE_CELL	0	0.6662722	0.6662722		-1.34696392038595
Nut1h.vs.Nut0h	promoter	ENSG00000141068	KSR1	17:25783281-25783503	17:25782670-25783870				TAZ_TARGET_GENES	0	0.275108	0.735720166666667		-0.561030964427276
Nut1h.vs.Nut0h	promoter	ENSG00000123384	LRP1	12:57521495-57521717	12:57521276-57522476				FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,VERRECCHIA_EARLY_RESPONSE_TO_TGFB1,MILI_PSEUDOPODIA_CHEMOTAXIS_DN	0	0.3504922	0.3504922		-0.494893647840237
Nut1h.vs.Nut0h	promoter	ENSG00000170860	LSM3	3:14219957-14220179	3:14218858-14220058				HOLLEMAN_VINCRISTINE_RESISTANCE_B_ALL_DN	0	0.13576557514318	0.782533156359787		0.43676982892011
Nut1h.vs.Nut0h	promoter	ENSG00000196782	MAML3	4:141075367-141075589	4:141075138-141076338				LEE_RECENT_THYMIC_EMIGRANT	0	0.675455251140781	1.01629136237104		-0.270470484863917
Nut1h.vs.Nut0h	promoter	ENSG00000140545	MFGE8	15:89456913-89457135	15:89456442-89457642				FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,PID_TAP63_PATHWAY,CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN,GSE6674_UNSTIM_VS_CPG_STIM_BCELL_UP,GAUTAM_EYE_CORNEA_MELANOCYTES,FAN_OVARY_CL14_MATURE_SMOOTH_MUSCLE_CELL	0	1.589661575	1.73310921666667		-0.955107786209095
Nut1h.vs.Nut0h	promoter	ENSG00000141741	MIEN1	17:37886638-37886860	17:37886840-37888040				TAZ_TARGET_GENES	0	-0.1930813	0.175934243333333		-1.42583248932523
Nut1h.vs.Nut0h	promoter	ENSG00000263565	MIR4738	17:73781500-73781722	17:73780488-73781688					0	0.05065478	0.05065478		
Nut1h.vs.Nut0h	promoter	ENSG00000169599	NFU1	2:69665188-69665410	2:69664560-69665760					0	0.439838197858176	0.847923813040732		-0.0984408858047488
Nut1h.vs.Nut0h	promoter	ENSG00000239672	NME1	17:49231053-49231275	17:49229897-49231097				BIOCARTA_NDKDYNAMIN_PATHWAY,VERRECCHIA_EARLY_RESPONSE_TO_TGFB1,MURAKAMI_UV_RESPONSE_1HR_UP,GAUTAM_EYE_CORNEA_MELANOCYTES	0	0.710266	0.710266		-0.609604146653602
Nut1h.vs.Nut0h	promoter	ENSG00000243678	NME1-NME2	17:49231053-49231275	17:49229920-49231120				BIOCARTA_NDKDYNAMIN_PATHWAY,VERRECCHIA_EARLY_RESPONSE_TO_TGFB1,ZHANG_PROLIFERATING_VS_QUIESCENT,MURAKAMI_UV_RESPONSE_1HR_UP,HOLLEMAN_VINCRISTINE_RESISTANCE_B_ALL_DN,TAZ_TARGET_GENES,GSE17721_CTRL_VS_LPS_6H_BMDC_UP,FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_UP	0	0.710266	0.710266		-1.29430665181561
Nut1h.vs.Nut0h	promoter	ENSG00000011052	NME2	17:49231053-49231275	17:49229951-49231151				BIOCARTA_NDKDYNAMIN_PATHWAY,MARTORIATI_MDM4_TARGETS_FETAL_LIVER_UP	0	0.710266	0.710266		
Nut1h.vs.Nut0h	promoter	ENSG00000152782	PANK1	10:91404912-91405134	10:91405015-91406215				FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,MACAEVA_PBMC_RESPONSE_TO_IR,GFI1_01	0	1.984486	1.80639116666667		-0.0797922751756474
Nut1h.vs.Nut0h	promoter	ENSG00000164902	PHAX	5:125935580-125935802	5:125934960-125936160				GSE17721_CTRL_VS_LPS_6H_BMDC_UP	0	0.721222857361895	1.13813225535263		0.731860779429417
Nut1h.vs.Nut0h	promoter	ENSG00000141682	PMAIP1	18:57566907-57567129	18:57566180-57567380				FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,WP_P53_TRANSCRIPTIONAL_GENE_NETWORK,SMIRNOV_RESPONSE_TO_IR_6HR_UP,KEGG_P53_SIGNALING_PATHWAY,PID_TAP63_PATHWAY,WP_MIRNA_REGULATION_OF_P53_PATHWAY_IN_PROSTATE_CANCER,PID_P53_DOWNSTREAM_PATHWAY,QUINTENS_EMBRYONIC_BRAIN_RESPONSE_TO_IR,INGA_TP53_TARGETS,SMIRNOV_RESPONSE_TO_IR_2HR_UP,KANNAN_TP53_TARGETS_UP,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_CYTOCHROME_C_RELEASE,MARTORIATI_MDM4_TARGETS_FETAL_LIVER_UP,GALLUZZI_PERMEABILIZE_MITOCHONDRIA,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES,WU_HBX_TARGETS_1_UP,WU_HBX_TARGETS_2_DN,GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP,GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_DN,GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_DN,FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_UP	0	0.7715307	1.24281756666667		1.46947206401515
Nut1h.vs.Nut0h	promoter	ENSG00000170734	POLH	6:43543873-43544095	6:43542887-43544087				HALLMARK_P53_PATHWAY,FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,WP_P53_TRANSCRIPTIONAL_GENE_NETWORK,MACAEVA_PBMC_RESPONSE_TO_IR,SMIRNOV_RESPONSE_TO_IR_6HR_UP,WARTERS_RESPONSE_TO_IR_SKIN,WARTERS_IR_RESPONSE_5GY,GFI1_01	0	1.28953281321278	1.28953281321278		0.110087633151679
Nut1h.vs.Nut0h	promoter	ENSG00000170836	PPM1D	17:58677524-58677746	17:58676544-58677744				HALLMARK_P53_PATHWAY,FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,MACAEVA_PBMC_RESPONSE_TO_IR,SMIRNOV_RESPONSE_TO_IR_6HR_UP,KERLEY_RESPONSE_TO_CISPLATIN_UP,WARTERS_RESPONSE_TO_IR_SKIN,KEGG_P53_SIGNALING_PATHWAY,WARTERS_IR_RESPONSE_5GY,QUINTENS_EMBRYONIC_BRAIN_RESPONSE_TO_IR,SMIRNOV_RESPONSE_TO_IR_2HR_UP,INGRAM_SHH_TARGETS_DN	0	0.4958357	0.993394566666667		0.408599958548962
Nut1h.vs.Nut0h	promoter	ENSG00000111725	PRKAB1	12:120105725-120105947	12:120104558-120105758				HALLMARK_P53_PATHWAY,FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,WP_P53_TRANSCRIPTIONAL_GENE_NETWORK,MACAEVA_PBMC_RESPONSE_TO_IR,SMIRNOV_RESPONSE_TO_IR_6HR_UP,PID_P53_DOWNSTREAM_PATHWAY,KANNAN_TP53_TARGETS_UP,TAZ_TARGET_GENES,GSE17721_CTRL_VS_LPS_6H_BMDC_UP	0	0.01268764	0.880412148		0.0481167725000166
Nut1h.vs.Nut0h	promoter	ENSG00000117222	RBBP5	1:205091268-205091490	1:205090943-205092143				TAZ_TARGET_GENES	0	-0.0512384522956993	-0.0512384522956993		0.683625190841363
Nut1h.vs.Nut0h	promoter	ENSG00000174791	RIN1	11:66104426-66104648	11:66104111-66105311				FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS	0	2.010254	2.0884335		-1.62567614817293
Nut1h.vs.Nut0h	promoter	ENSG00000259060	RNASE11	14:21077673-21077895	14:21077754-21078954					0	2.06788166666667	1.8146182		
Nut1h.vs.Nut0h	promoter	ENSG00000252887	RNU6-430P	16:89508532-89508754	16:89508726-89509926					0	0.39029065	0.3237248		
Nut1h.vs.Nut0h	promoter	ENSG00000265100	RP11-147L13.2	17:66244689-66244911	17:66243879-66245079					0	0.1968206	0.1968206		1.47162721260478
Nut1h.vs.Nut0h	promoter	ENSG00000267280	RP11-332H18.4	17:59489540-59489762	17:59488716-59489916				FAN_OVARY_CL14_MATURE_SMOOTH_MUSCLE_CELL	0	0.5528261	0.7724362		
Nut1h.vs.Nut0h	promoter	ENSG00000257449	RP11-603J24.4	12:56435653-56435875	12:56435390-56436590					0	0.5350417	0.5350417		
Nut1h.vs.Nut0h	promoter	ENSG00000263727	RP11-806L2.5	18:658160-658382	18:657059-658259					0	1.370075	1.370075		1.25019603147893
Nut1h.vs.Nut0h	promoter	ENSG00000232936	RP11-80H5.2	10:91404912-91405134	10:91404039-91405239					0	1.984486	1.984486		2.29479607655688
Nut1h.vs.Nut0h	promoter	ENSG00000249962	RP11-80H5.5	10:91404912-91405134	10:91404780-91405980					0	1.984486	1.80639116666667		
Nut1h.vs.Nut0h	promoter	ENSG00000262412	RP11-85G18.6	10:27532047-27532269	10:27531059-27532259					0	0.7612211	0.7612211		
Nut1h.vs.Nut0h	promoter	ENSG00000260179	RP5-902P8.12	1:1186315-1186537	1:1186514-1187714					0	0.267778127721839	0.249385816873275		-0.0599264812093525
Nut1h.vs.Nut0h	promoter	ENSG00000241464	RPL39P38	19:18397084-18397306	19:18396105-18397305					0	1.530685	1.530685		
Nut1h.vs.Nut0h	promoter	ENSG00000118705	RPN2	20:35807012-35807234	20:35805813-35807013				MILI_PSEUDOPODIA_CHEMOTAXIS_DN,GAUTAM_EYE_CORNEA_MELANOCYTES	0	0.07193379	0.965258865		-0.257747771269017
Nut1h.vs.Nut0h	promoter	ENSG00000197728	RPS26	12:56435653-56435875	12:56434637-56435837				TONG_INTERACT_WITH_PTTG1,LEE_RECENT_THYMIC_EMIGRANT,GAUTAM_EYE_CORNEA_MELANOCYTES	0	0.5350417	0.5350417		-0.848075001292709
Nut1h.vs.Nut0h	promoter	ENSG00000206075	SERPINB5	18:61143891-61144113	18:61142994-61144194				HALLMARK_P53_PATHWAY,FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,WP_P53_TRANSCRIPTIONAL_GENE_NETWORK,KEGG_P53_SIGNALING_PATHWAY,PID_TAP63_PATHWAY,PID_P53_DOWNSTREAM_PATHWAY,DORN_ADENOVIRUS_INFECTION_32HR_DN,DORN_ADENOVIRUS_INFECTION_48HR_DN,GALLUZZI_PERMEABILIZE_MITOCHONDRIA	0	1.040513	0.98397874		0.76430675235979
Nut1h.vs.Nut0h	promoter	ENSG00000106366	SERPINE1	7:100770113-100770335	7:100769370-100770570				FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,WP_P53_TRANSCRIPTIONAL_GENE_NETWORK,KERLEY_RESPONSE_TO_CISPLATIN_UP,KEGG_P53_SIGNALING_PATHWAY,WP_MIRNA_REGULATION_OF_P53_PATHWAY_IN_PROSTATE_CANCER,PID_P53_DOWNSTREAM_PATHWAY,VERRECCHIA_EARLY_RESPONSE_TO_TGFB1,MILI_PSEUDOPODIA_CHEMOTAXIS_DN,CROONQUIST_STROMAL_STIMULATION_UP,CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN,GSE6674_UNSTIM_VS_CPG_STIM_BCELL_UP	0	1.61364980019395	1.95267209682185		0.95111147702931
Nut1h.vs.Nut0h	promoter	ENSG00000197019	SERTAD1	19:40931979-40932201	19:40931732-40932932				FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,INGRAM_SHH_TARGETS_DN,BRACHAT_RESPONSE_TO_CAMPTOTHECIN_UP,GSE6674_UNSTIM_VS_CPG_STIM_BCELL_UP,GAUTAM_EYE_CORNEA_MELANOCYTES	0	0.4177407	1.89988145		-0.00427189121245343
Nut1h.vs.Nut0h	promoter	ENSG00000157933	SKI	1:2159090-2159312	1:2159134-2160334				GROSS_HYPOXIA_VIA_ELK3_UP,ZHANG_PROLIFERATING_VS_QUIESCENT,GSE17721_CTRL_VS_LPS_6H_BMDC_UP	0	1.28384153733712	1.39718921117123		-0.272460624329529
Nut1h.vs.Nut0h	promoter	ENSG00000227258	SMIM2-AS1	13:44716222-44716444	13:44715682-44716882					0	0.287738	0.287738		-1.33234162799889
Nut1h.vs.Nut0h	promoter	ENSG00000209480	SNORD83B	22:39709515-39709737	22:39709716-39710916					0	0.3762544	0.242849633333333		
Nut1h.vs.Nut0h	promoter	ENSG00000182896	TMEM95	17:7257647-7257869	17:7257442-7258642					0	1.6775	1.5944825		
Nut1h.vs.Nut0h	promoter	ENSG00000164938	TP53INP1	8:95961691-95961913	8:95961439-95962639				FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,WP_P53_TRANSCRIPTIONAL_GENE_NETWORK,MACAEVA_PBMC_RESPONSE_TO_IR,WARTERS_RESPONSE_TO_IR_SKIN,WARTERS_IR_RESPONSE_5GY,PID_P53_DOWNSTREAM_PATHWAY,QUINTENS_EMBRYONIC_BRAIN_RESPONSE_TO_IR,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_CYTOCHROME_C_RELEASE,BRACHAT_RESPONSE_TO_CAMPTOTHECIN_UP,MARTORIATI_MDM4_TARGETS_FETAL_LIVER_UP,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES,GROSS_HYPOXIA_VIA_ELK3_UP,GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_DN,GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_DN	0	0.7538581	1.47785303333333		1.34273586421822
Nut1h.vs.Nut0h	promoter	ENSG00000076604	TRAF4	17:27070044-27070266	17:27070002-27071202				HALLMARK_P53_PATHWAY,FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,WP_P53_TRANSCRIPTIONAL_GENE_NETWORK,SMIRNOV_RESPONSE_TO_IR_6HR_UP,PID_TAP63_PATHWAY,DORN_ADENOVIRUS_INFECTION_32HR_DN,DORN_ADENOVIRUS_INFECTION_48HR_DN,GFI1_01,FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_UP	0	0.1673781	0.1673781		-0.655791200930778
Nut1h.vs.Nut0h	promoter	ENSG00000104228	TRIM35	8:27169636-27169858	8:27168636-27169836				FISCHER_DIRECT_P53_TARGETS_META_ANALYSIS,MILI_PSEUDOPODIA_CHEMOTAXIS_DN	0	0.3916764	0.9291914		-0.0681242624900904
Nut1h.vs.Nut0h	promoter	ENSG00000164338	UTP15	5:72861134-72861356	5:72860268-72861468					0	0.090252749351675	0.260790991840551		1.0649801153384
Nut1h.vs.Nut0h	promoter	ENSG00000124571	XPO5	6:43543873-43544095	6:43543612-43544812				GFI1_01	0	1.28953281321278	1.28953281321278		-0.159950907930979
Nut1h.vs.Nut0h	promoter	ENSG00000039319	ZFYVE16	5:79702825-79703047	5:79702832-79704032					0	-0.0298852713514915	-0.0298852713514915		1.23056732263154
Nut1h.vs.Nut0h	promoter	ENSG00000174306	ZHX3	20:39946296-39946518	20:39946112-39947312					0	1.20375143333333	1.03297386666667		-0.203357601638206
Nut1h.vs.Nut0h	promoter	ENSG00000163848	ZNF148	3:125094143-125094365	3:125093998-125095198					0	0.862987494367297	0.715442923931164		0.497210958737325
Nut1h.vs.Nut0h	promoter	ENSG00000238569	snoU13	22:38180902-38181124	22:38180533-38181733					0	-0.3126211	-0.3126211		
Nut10h.vs.Nut0h	enhancer	ENSG00000124608	AARS2	6:44276808-44277030	6:44276514-44277488	6:44279450-44288287	6:44275688-44277380	maintained		4544	1.99053072088729	0.574667228848629	1.76288209488299	
Nut10h.vs.Nut0h	enhancer	ENSG00000214184	AC012487.2	2:109061744-109061966	2:109060788-109062423	2:109061063-109066640	2:109144635-109152181	maintained		89197	2.47483544978113	0.34047805094744	2.60147773670781	
Nut10h.vs.Nut0h	enhancer	ENSG00000233611	AC079135.1	2:236677844-236678066	2:236677046-236679270	2:237072120-237077830	2:236668675-236679268	gained		397735	2.25161166078202	0.0954322068760072	2.27473922838421	
Nut10h.vs.Nut0h	enhancer	ENSG00000237753	AC079922.3	2:113450219-113450441	2:113448129-113451605	2:113402487-113405754	2:113449093-113452250	maintained		46663	1.3188609509408	0.578685732846416	0.948294400204041	
Nut10h.vs.Nut0h	enhancer	ENSG00000235257	AC093415.2	3:37987562-37987784	3:37985940-37988771	3:37889807-37904998	3:37983810-37992184	gained		84002	1.5674301180284	0.554926282250059	1.39404274933374	
Nut10h.vs.Nut0h	enhancer	ENSG00000227938	AC104695.4	2:27929074-27929296	2:27927573-27930215	2:28666022-28687201	2:27927708-27929975	gained		744266	1.3004152660198	-0.391281089000487	1.20821967100511	
Nut10h.vs.Nut0h	enhancer	ENSG00000229782	AC118754.4	17:4419005-4419227	17:4418521-4419398	17:4401458-4411067	17:4413619-4420190	maintained		15747	1.12200775409715	0.874085551883145	1.0292957358414	
Nut10h.vs.Nut0h	enhancer	ENSG00000160710	ADAR	1:154905655-154905877	1:154903946-154905901	1:154596617-154601605	1:154893404-154930322	gained	MIR4530,ZFP3_TARGET_GENES,MIR4261	304891	0.731892683377853	0.566486516411886	0.568737237682142	
Nut10h.vs.Nut0h	enhancer	ENSG00000160710	ADAR	1:154976250-154976472	1:154976322-154991895	1:154596617-154601605	1:154968506-154982940	gained	MIR4530,ZFP3_TARGET_GENES,MIR4261	375486	0.578652146227746	0.566486516411886	0.146678883772952	
Nut10h.vs.Nut0h	enhancer	ENSG00000148926	ADM	11:9823892-9824114	11:9823364-9824545	11:10325114-10330150	11:9823233-9824086	maintained	DELYS_THYROID_CANCER_UP,DANG_REGULATED_BY_MYC_DN,PHONG_TNF_RESPONSE_VIA_P38_PARTIAL,MIR4465,MIR4495,P53_DN.V1_UP	501824	0.715614840253465	0.738827875929879	0.715614840253465	
Nut10h.vs.Nut0h	enhancer	ENSG00000148926	ADM	11:9823892-9824114	11:9823364-9824545	11:10325114-10330150	11:9823233-9824086	maintained	DELYS_THYROID_CANCER_UP,DANG_REGULATED_BY_MYC_DN,PHONG_TNF_RESPONSE_VIA_P38_PARTIAL,MIR4465,MIR4495,P53_DN.V1_UP	501824	0.715614840253465	0.738827875929879	0.715614840253465	
Nut10h.vs.Nut0h	enhancer	ENSG00000148926	ADM	11:9823892-9824114	11:9823364-9824545	11:10325114-10330150	11:9823233-9824086	maintained	DELYS_THYROID_CANCER_UP,DANG_REGULATED_BY_MYC_DN,PHONG_TNF_RESPONSE_VIA_P38_PARTIAL,MIR4465,MIR4495,P53_DN.V1_UP	501824	0.715614840253465	0.738827875929879	0.715614840253465	
Nut10h.vs.Nut0h	enhancer	ENSG00000131016	AKAP12	6:151357791-151358013	6:151352071-151375057	6:151558969-151563172	6:151357589-151358852	maintained	DANG_REGULATED_BY_MYC_DN,HELLER_HDAC_TARGETS_UP,MIR6512_3P,MIR6720_5P,MIR300,MIR381_3P	202832	1.05716664080525	0.581053957369105	0.45375235925905	
Nut10h.vs.Nut0h	enhancer	ENSG00000006534	ALDH3B1	11:67965856-67966078	11:67965597-67966064	11:67761593-67778910	11:67962264-67971462	gained	DELYS_THYROID_CANCER_UP,JOHNSTONE_PARVB_TARGETS_3_UP,CP2_02,HAND1_TARGET_GENES,TAZ_TARGET_GENES,GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	190319		0.525670357667123		
Nut10h.vs.Nut0h	enhancer	ENSG00000006534	ALDH3B1	11:67965856-67966078	11:67965597-67966064	11:67761593-67778910	11:67962264-67971462	gained	DELYS_THYROID_CANCER_UP,JOHNSTONE_PARVB_TARGETS_3_UP,CP2_02,HAND1_TARGET_GENES,TAZ_TARGET_GENES,GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	190319		0.525670357667123		
Nut10h.vs.Nut0h	enhancer	ENSG00000133805	AMPD3	11:9823892-9824114	11:9823364-9824545	11:10325114-10330150	11:9823233-9824086	maintained		505457	0.715614840253465	0.738827875929879	0.715614840253465	
Nut10h.vs.Nut0h	enhancer	ENSG00000164236	ANKRD33B	5:10552607-10552829	5:10549672-10553891	5:10560090-10567923	5:10552388-10552972	maintained		11324	1.58325639577996	0.834928646319443	1.360903144322	
Nut10h.vs.Nut0h	enhancer	ENSG00000273492	AP000230.1	21:27353064-27353286	21:27352800-27353648	21:27540932-27543573	21:27352649-27359753	gained		189614	1.41409792563734	0.361047132587033	1.41409792563734	
Nut10h.vs.Nut0h	enhancer	ENSG00000163697	APBB2	4:41148259-41148481	4:41144253-41152106	4:41214359-41218995	4:41147685-41149296	maintained	KIM_WT1_TARGETS_12HR_DN,MIR153_3P,MIR6834_3P,MIR4261,MIR6124,MIR147B_5P,MIR519A_2_5P_MIR520B_5P,MIR3120_3P,P53_DN.V1_UP	70761	1.66813212818627	0.496855152340457	1.24419619271523	
Nut10h.vs.Nut0h	enhancer	ENSG00000163697	APBB2	4:41148259-41148481	4:41144253-41152106	4:41214359-41218995	4:41147685-41149296	maintained	KIM_WT1_TARGETS_12HR_DN,MIR153_3P,MIR6834_3P,MIR4261,MIR6124,MIR147B_5P,MIR519A_2_5P_MIR520B_5P,MIR3120_3P,P53_DN.V1_UP	70761	1.66813212818627	0.496855152340457	1.24419619271523	
Nut10h.vs.Nut0h	enhancer	ENSG00000142192	APP	21:27353064-27353286	21:27352800-27353648	21:27540932-27543573	21:27352649-27359753	gained	DANG_REGULATED_BY_MYC_DN,MIR153_3P,CTATGCA_MIR153,MIR300,MIR381_3P,MIR4495,MIR32_3P	190671	1.41409792563734	0.245348604234267	1.41409792563734	
Nut10h.vs.Nut0h	enhancer	ENSG00000163947	ARHGEF3	3:57049220-57049442	3:57048728-57050301	3:57110628-57114231	3:57049015-57049387	maintained	TTGGAGA_MIR5155P_MIR519E,MIR507,CAGCACT_MIR5123P,MIR32_3P,GSE9037_CTRL_VS_LPS_4H_STIM_IRAK4_KO_BMDM_DN	64426	1.54820814704517	0.61173627620007	1.36640368050681	
Nut10h.vs.Nut0h	enhancer	ENSG00000163947	ARHGEF3	3:57049220-57049442	3:57048728-57050301	3:57110628-57114231	3:57049388-57051020	maintained	TTGGAGA_MIR5155P_MIR519E,MIR507,CAGCACT_MIR5123P,MIR32_3P,GSE9037_CTRL_VS_LPS_4H_STIM_IRAK4_KO_BMDM_DN	64426	1.54820814704517	0.61173627620007	1.36640368050681	
Nut10h.vs.Nut0h	enhancer	ENSG00000153317	ASAP1	8:131207545-131207767	8:131205910-131208815	8:131454761-131464433	8:131207270-131211444	gained	MIR708_3P,ZNF708_TARGET_GENES,ACATATC_MIR190	248650	1.52068639110695	-0.00585796148182469	1.03992635662448	
Nut10h.vs.Nut0h	enhancer	ENSG00000116539	ASH1L	1:155516293-155516515	1:155515765-155517094	1:155313410-155317418	1:155511526-155540995	maintained	ETF_Q6,MIR6885_3P,MIR142_3P,ZFP3_TARGET_GENES,MIR6124,MIR507,MIR4782_3P,HAND1_TARGET_GENES,MIR519A_2_5P_MIR520B_5P,MIR508_3P	16594	1.63946654696778	0.364769811111657	1.43365000164449	
